facet_raw,facet_name,inferrable,category,description,score_anchor_1,score_anchor_3,score_anchor_5,polarity,weight
Risktaking,Risktaking,True,Personality,This facet measures the degree to which a speaker is willing to take risks or engage in uncertain behavior in a conversation turn,The speaker avoids discussing or engaging in any potentially risky or uncertain topics,"The speaker occasionally discusses or considers risky or uncertain topics, but also expresses caution or hesitation",The speaker frequently discusses or engages in risky or uncertain topics with enthusiasm and confidence,positive,1.0
Naivety,Naivety,True,Personality,"This facet measures the degree to which a speaker displays a lack of experience, wisdom, or worldly knowledge in a conversation turn",The speaker demonstrates a high level of sophistication and worldly knowledge,"The speaker occasionally displays a lack of knowledge or experience, but also shows an ability to learn and adapt","The speaker frequently displays a lack of knowledge or experience, and seems unaware of the implications or potential consequences",negative,1.0
Acidity,Acidity,True,Personality,"This facet measures the degree to which a speaker's tone or language is sharp, critical, or biting in a conversation turn","The speaker's tone is consistently warm, friendly, and supportive","The speaker occasionally uses sharp or critical language, but also balances it with more positive or constructive comments","The speaker frequently uses sharp, critical, or biting language, with little attempt to soften or balance their tone",negative,1.0
Common-sense,Common-sense,True,General,"This facet measures the degree to which a speaker displays practical, sensible, and realistic thinking in a conversation turn","The speaker's thinking is often unrealistic, impractical, or lacking in common sense","The speaker occasionally displays practical and sensible thinking, but also considers unconventional or creative solutions","The speaker consistently displays practical, sensible, and realistic thinking, with a focus on finding effective solutions",positive,1.0
Hesitation,Hesitation,True,General,"This facet measures the degree to which a speaker is uncertain, indecisive, or lacking in confidence in a conversation turn",The speaker is consistently confident and decisive in their thoughts and opinions,"The speaker occasionally expresses uncertainty or hesitation, but also shows an ability to weigh options and make decisions","The speaker frequently expresses uncertainty, indecision, or a lack of confidence, and struggles to commit to a particular course of action",negative,1.0
Discontentment,Discontentment,True,Emotional,"This facet measures the degree to which a speaker expresses dissatisfaction, unhappiness, or frustration in a conversation turn","The speaker is consistently satisfied, happy, and content with their circumstances","The speaker occasionally expresses some dissatisfaction or frustration, but also acknowledges positive aspects or potential solutions","The speaker frequently expresses strong dissatisfaction, unhappiness, or frustration, with little attempt to find positive aspects or solutions",negative,1.0
Overprotectiveness,Overprotectiveness,True,General,"This facet measures the degree to which a speaker is excessively cautious, restrictive, or controlling in a conversation turn","The speaker is consistently relaxed and permissive, with a focus on allowing freedom and autonomy","The speaker occasionally expresses caution or concern, but also balances it with a willingness to take calculated risks","The speaker frequently expresses excessive caution, restrictiveness, or a desire to control others, with little consideration for their autonomy or well-being",negative,1.0
Merriness,Merriness,True,Emotional,"This facet measures the degree to which a speaker is cheerful, lighthearted, and humorous in a conversation turn","The speaker is consistently serious, somber, and lacking in humor","The speaker occasionally displays a sense of humor or playfulness, but also discusses more serious topics","The speaker frequently uses humor, irony, or wit to engage and entertain others, and maintains a lighthearted tone",positive,1.0
Emotionalism,Emotionalism,True,Emotional,"This facet measures the degree to which a speaker is guided by emotions, intuition, or personal feelings in a conversation turn","The speaker is consistently logical, rational, and detached in their thinking and decision-making","The speaker occasionally allows emotions or personal feelings to influence their thoughts or decisions, but also considers more objective factors","The speaker frequently prioritizes emotions, intuition, or personal feelings over more objective or rational considerations",neutral,1.0
Self-improvement,Self-improvement,True,General,"This facet measures the degree to which a speaker is motivated to learn, grow, and develop themselves in a conversation turn","The speaker shows little interest in learning, growing, or developing themselves","The speaker occasionally expresses a desire for self-improvement, but also acknowledges challenges or limitations","The speaker frequently discusses their goals, aspirations, and efforts to learn and grow, with a strong motivation to develop themselves",positive,1.0
Statistical Reasoning,Statistical Reasoning,True,Cognitive,"This facet measures the degree to which a speaker uses data, evidence, or statistical thinking to inform their thoughts and decisions in a conversation turn","The speaker rarely uses data, evidence, or statistical thinking to support their arguments or decisions","The speaker occasionally uses data or evidence to inform their thoughts, but also relies on intuition or personal experience","The speaker frequently uses statistical reasoning, data analysis, and evidence-based thinking to support their arguments and decisions",positive,1.0
Assertiveness and control in relationships,Assertiveness and control in relationships,True,Social,"This facet measures the degree to which a speaker is direct, assertive, and influential in their interactions with others in a conversation turn","The speaker is consistently passive, submissive, or lacking in assertiveness","The speaker occasionally expresses their needs and desires, but also prioritizes the feelings and needs of others","The speaker frequently uses direct, assertive, and influential communication to achieve their goals and maintain healthy boundaries",positive,1.0
Cunningness,Cunningness,True,Personality,"This facet measures the degree to which a speaker is clever, manipulative, or strategic in their interactions with others in a conversation turn","The speaker is consistently straightforward, honest, and transparent in their interactions","The speaker occasionally uses clever or strategic language, but also prioritizes honesty and fairness","The speaker frequently uses manipulative, deceptive, or exploitative tactics to achieve their goals or influence others",negative,1.0
Adventure-Seeking Behavior,Adventure-Seeking Behavior,True,Behavioral,"This facet measures the degree to which a speaker is open to new experiences, willing to take risks, and enthusiastic about exploring novel situations in a conversation turn","The speaker is consistently cautious, risk-averse, and prefers routine and familiarity","The speaker occasionally expresses a desire for new experiences or adventures, but also prioritizes safety and security","The speaker frequently seeks out new, exciting, and challenging experiences, with a strong desire for exploration and discovery",positive,1.0
Compassion Fatigue,Compassion Fatigue,True,Social,"This facet measures the degree to which a speaker is emotionally drained, desensitized, or disconnected from the needs and feelings of others in a conversation turn","The speaker is consistently empathetic, compassionate, and engaged with the needs and feelings of others","The speaker occasionally expresses emotional exhaustion or frustration, but also acknowledges the importance of empathy and compassion","The speaker frequently appears emotionally drained, desensitized, or disconnected from the needs and feelings of others, with little ability to empathize or provide support",negative,1.0
Moroseness,Moroseness,True,Emotional,This facet measures the extent to which a conversation turn expresses gloominess or sullenness.,"The speaker shows no signs of sadness or discontent, appearing cheerful and optimistic.","The speaker occasionally expresses mild dissatisfaction or neutral feelings, without dominating the conversation.","The speaker consistently displays a somber or irritable tone, dominating the conversation with negative emotions.",negative,1.0
Specialist,Specialist,True,General,This facet measures the extent to which a conversation turn demonstrates specialized knowledge or expertise.,"The speaker shows no evidence of specialized knowledge, relying on general information or lacking confidence.","The speaker occasionally displays some knowledge in a specific area, but it is not a dominant feature of the conversation.","The speaker consistently demonstrates in-depth, specialized knowledge, using technical terms and complex concepts with ease.",positive,1.0
